post_id,title,category,score,num_comments,author,collected_at
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,45,21,vkatluri,2026-04-09T04:03:21.823215
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,101,46,indraneelpatil,2026-04-09T04:03:22.383897
47696558,Finetuning Activates Verbatim Recall of Copyrighted Books in LLMs,entertainment,6,1,guitarlimeo,2026-04-09T04:03:22.841743
47693407,Show HN: 500k+ events/sec transformations for ClickHouse ingestion,entertainment,11,2,super_ar,2026-04-09T04:03:25.062900
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,776,233,sam-bee,2026-04-09T04:03:25.233042
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,46,6,intofarlands,2026-04-09T04:03:25.453695
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,282,64,frasermarlow,2026-04-09T04:03:26.692971
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,222,27,MediaSquirrel,2026-04-09T04:03:28.155868
47695616,YouTube starts showing 90-second unskippable ads to TV viewers,entertainment,21,15,Brajeshwar,2026-04-09T04:03:29.550621
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-09T04:03:29.703973
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,464,196,MattHart88,2026-04-09T04:03:31.311467
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-09T04:03:31.396807
47690950,Show HN: BAREmail ʕ·ᴥ·ʔ – minimalist Gmail client for bad WiFi,entertainment,43,40,Virgo_matt,2026-04-09T04:03:31.469581
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,113,31,noone_youknow,2026-04-09T04:03:31.681840
47655408,Show HN: I built a tiny LLM to demystify how language models work,entertainment,900,134,armanified,2026-04-09T04:03:32.272245
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,245,200,Zm44,2026-04-09T04:03:32.508951
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,27,12,ashish004,2026-04-09T04:03:32.655034
